,0,Index
ENSG00000183971.5,0.005237044058382696,67
ENSG00000230453.8,0.006427440386784587,53
ENSG00000228401.4,0.01101498546568266,28
ENSG00000005381.7,0.010739920214108046,31
ENSG00000132122.10,0.003172183636769166,88
ENSG00000270182.1,0.03399790901874257,4
ENSG00000106006.6,0.03431729237114598,3
ENSG00000165716.8,0.004335288873661662,72
ENSG00000151917.16,0.0037150106519553876,80
ENSG00000170893.3,0.035375576686976454,2
ENSG00000162078.10,0.0021072137108502495,99
ENSG00000106004.4,0.006033484151215626,61
ENSG00000188626.6,0.010087741282162565,33
ENSG00000267453.5,0.012970959439289368,21
ENSG00000144668.10,0.003310379572007021,86
ENSG00000182749.5,0.003070161573501336,89
ENSG00000111885.6,0.006227239618911836,59
ENSG00000276141.3,0.004764705779157062,71
ENSG00000174059.15,0.0022154193519693557,97
ENSG00000168916.14,0.0019329619209520151,103
ENSG00000243587.6,0.008232869102267833,40
ENSG00000225792.1,0.007929521616059044,42
ENSG00000257654.1,0.015364322619330531,12
ENSG00000116985.9,0.0010272403316503407,111
ENSG00000102595.17,0.012603919100315872,22
ENSG00000132975.7,0.041986464620127686,1
